es_id,authors,title,year,source,type,discipline,study_nr,ai_label,consumer_response,autonomy,performance,anthropomorphism,uniqueness_recognition,application_domain,task_objectivity,task_consequentiality,human_benchmark,ai_explanation,field_setting,stimulus_presentation,incentive_compatibility,behavioral_dv,within_subject_design,online_sample,average_age,percentage_females,geographical_background,familiarity,n1,n2,n,p_value,cohens_d
48,"arkes, shaffer, & medow",patients derogate physicians who use a computer-assisted diagnostic aid,2007,medical decision making,journal publication,medicine,2,ai systems,cognitive,extensive,NA,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,NA,NA,america,no,55,73,128,< 0.01,-0.54
49,"arkes, shaffer, & medow",patients derogate physicians who use a computer-assisted diagnostic aid,2007,medical decision making,journal publication,medicine,2,ai systems,cognitive,extensive,NA,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,NA,NA,america,no,55,73,128,< 0.01,-0.43
50,"arkes, shaffer, & medow",patients derogate physicians who use a computer-assisted diagnostic aid,2007,medical decision making,journal publication,medicine,2,ai systems,cognitive,extensive,NA,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,NA,NA,america,no,55,73,128,< 0.05,-0.27
51,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,america,no,85,86,171,< 0.001,-0.604
52,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,america,no,85,86,171,0.062,-0.3
53,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,NA,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,america,no,85,86,171,0.006,-0.42
54,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,NA,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,america,no,85,86,171,< 0.001,-0.69
55,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,NA,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,america,no,85,86,171,< 0.001,-0.59
56,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,62,62,124,> 0.1,-0.39
57,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,61,62,123,> 0.1,0.22
58,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,62,62,124,0.009,-0.56
59,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,NA,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,62,62,124,> 0.05,-0.4
60,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,NA,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,62,62,124,> 0.05,-0.21
61,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,NA,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,62,62,124,< 0.05,-0.45
62,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,61,62,123,> 0.1,0.3
63,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,NA,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,61,62,123,> 0.05,0.32
64,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,NA,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,61,62,123,> 0.05,0.12
65,"diab, pui, yankelevich, & highhouse",lay perceptions of selection decision aids in us and non-us samples,2011,international journal of selection and assessment,journal publication,management,1,ai algorithms,NA,extensive,NA,absent,present,operations & management,objective,high,expert,absent,no,text only,no,no,no,no,40,49,NA,no,61,62,123,> 0.05,0.34
66,promberger & baron,do patients trust computers?,2006,journal of behavioral decision making,journal publication,psychology,1,ai systems,behavioral,extensive,NA,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,yes,no,40.22,83,NA,no,NA,NA,86,< 0.001,-0.616
67,promberger & baron,do patients trust computers?,2006,journal of behavioral decision making,journal publication,psychology,2,ai systems,affective,NA,NA,absent,NA,healthcare,objective,high,expert,absent,no,text only,no,no,yes,no,40.89,76,NA,no,NA,NA,80,< 0.001,0.655
68,promberger & baron,do patients trust computers?,2006,journal of behavioral decision making,journal publication,psychology,2,ai systems,affective,NA,NA,absent,NA,healthcare,objective,high,expert,absent,no,text only,no,no,yes,no,40.89,76,NA,no,NA,NA,80,< 0.001,-0.462
69,palmeira,consumer reactions to professionals who use decision aids,2015,european journal of marketing,journal publication,marketing,2,ai systems,NA,extensive,NA,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,33.38,39,america,no,39,39,78,< 0.01,-0.4633
70,palmeira,consumer reactions to professionals who use decision aids,2015,european journal of marketing,journal publication,marketing,2,ai systems,NA,extensive,NA,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,33.38,39,america,no,39,39,78,0.052,-0.3071
71,palmeira,consumer reactions to professionals who use decision aids,2015,european journal of marketing,journal publication,marketing,3,ai systems,NA,extensive,NA,absent,absent,NA,NA,high,expert,absent,no,text only,no,no,yes,no,NA,NA,america,no,NA,NA,83,> 0.90,0
72,"yeomans, shah, mullainathan, & kleinberg",making sense of recommendations,2019,journal of behavioral decision making,journal publication,psychology,3,ai systems,NA,extensive,NA,absent,present,entertainment & lifestyle,subjective,low,non-expert,absent,no,text only,no,no,no,yes,NA,NA,NA,no,443,443,886,0.032,-0.141
73,"yeomans, shah, mullainathan, & kleinberg",making sense of recommendations,2019,journal of behavioral decision making,journal publication,psychology,4,ai systems,behavioral,extensive,NA,absent,present,entertainment & lifestyle,subjective,low,non-expert,absent,no,text only,no,yes,no,yes,NA,NA,NA,no,450,449,899,< 0.001,-0.2407
74,"yeomans, shah, mullainathan, & kleinberg",making sense of recommendations,2019,journal of behavioral decision making,journal publication,psychology,4,ai systems,cognitive,extensive,NA,absent,present,entertainment & lifestyle,subjective,low,non-expert,absent,no,text only,no,no,no,yes,NA,NA,NA,no,450,449,899,0.038,-0.138
75,"boorman, o'doherty, adolphs, & rangel",the behavioral and neural mechanisms underlying the tracking of expertise,2013,neuron,journal publication,medicine,1,ai algorithms,cognitive,limited,equivalent,absent,absent,investing & finance,objective,low,non-expert,absent,no,perceptually rich,yes,yes,yes,no,25,32,NA,no,NA,NA,25,< 0.05,-0.566
76,"boorman, o'doherty, adolphs, & rangel",the behavioral and neural mechanisms underlying the tracking of expertise,2013,neuron,journal publication,medicine,1,ai algorithms,cognitive,limited,equivalent,absent,absent,investing & finance,objective,low,non-expert,absent,no,perceptually rich,yes,yes,yes,no,25,32,NA,no,NA,NA,25,< 0.05,-0.583
77,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,1,ai systems,affective,extensive,NA,absent,absent,operations & management,subjective,low,non-expert,absent,no,text only,no,no,no,no,26.93,44,NA,no,82,93,175,0.002,-0.493
78,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,1,ai systems,affective,extensive,NA,absent,absent,operations & management,subjective,low,non-expert,absent,no,text only,no,no,no,no,26.93,44,NA,no,82,93,175,0.001,-0.558
79,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,1,ai systems,affective,extensive,NA,absent,absent,operations & management,subjective,low,non-expert,absent,no,text only,no,no,no,no,26.93,44,NA,no,82,93,175,0.884,-0.03
80,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,2,ai systems,affective,extensive,NA,absent,absent,entertainment & lifestyle,subjective,low,non-expert,absent,no,text only,no,no,no,yes,33.13,46,america,no,197,204,401,< 0.001,-0.403
81,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,2,ai systems,affective,extensive,NA,absent,absent,entertainment & lifestyle,subjective,low,non-expert,absent,no,text only,no,no,no,yes,33.13,46,america,no,197,204,401,0.002,-0.336
82,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,2,ai systems,affective,extensive,NA,absent,absent,entertainment & lifestyle,subjective,low,non-expert,absent,no,text only,no,no,no,yes,33.13,46,america,no,197,204,401,0.138,-0.121
83,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,3,ai systems,affective,extensive,NA,absent,absent,operations & management,NA,high,non-expert,absent,no,text only,no,no,no,yes,36.01,49,america,no,100,100,200,0.009,-0.375
84,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,3,ai systems,affective,extensive,NA,absent,absent,operations & management,NA,high,non-expert,absent,no,text only,no,no,no,yes,36.01,49,america,no,100,100,200,0.003,-0.484
85,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,3,ai systems,NA,extensive,NA,absent,absent,operations & management,NA,high,non-expert,absent,no,text only,no,no,no,yes,36.01,49,america,no,100,100,200,0.009,-0.495
86,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,3,ai systems,affective,extensive,NA,absent,absent,operations & management,NA,high,non-expert,absent,no,text only,no,no,no,yes,36.01,49,america,no,100,100,200,0.007,-0.426
87,jago,algorithms and authenticity,2019,academy of management discoveries,journal publication,management,4,ai systems,affective,extensive,NA,absent,absent,entertainment & lifestyle,subjective,low,non-expert,absent,no,text only,no,no,no,yes,33.76,47,america,no,405,399,804,< 0.001,-0.859
88,"ben-david, resheff, & tron",explainable ai and adoption of financial algorithmic advisors: an experimental study,2021,"proceedings of the 2021 aaai/acm conference on ai, ethics, and society",conference proceedings,information systems,1,ai algorithms,behavioral,limited,equivalent,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,yes,no,yes,36.6,41.2,america,no,84,104,188,0.0129,0.368
89,"ben-david, resheff, & tron",explainable ai and adoption of financial algorithmic advisors: an experimental study,2021,"proceedings of the 2021 aaai/acm conference on ai, ethics, and society",conference proceedings,information systems,1,ai algorithms,behavioral,limited,equivalent,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,yes,no,yes,36.6,41.2,america,no,84,104,188,0.0611 (> 0.1),-0.276
90,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,1,ai systems,behavioral,limited,equivalent,absent,absent,other,NA,low,non-expert,absent,no,perceptually rich,no,yes,yes,yes,39.36,36,america,no,NA,NA,47,< 0.001,0.407
91,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,1,ai systems,cognitive,limited,equivalent,absent,absent,other,NA,low,non-expert,absent,no,perceptually rich,no,no,yes,yes,39.36,36,america,no,NA,NA,47,< 0.001,0.786
92,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,1,ai systems,cognitive,limited,equivalent,absent,absent,other,NA,low,non-expert,absent,no,perceptually rich,no,no,yes,yes,39.36,36,america,no,NA,NA,47,< 0.001,0.421
93,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,1,ai systems,cognitive,limited,equivalent,absent,absent,other,NA,low,non-expert,absent,no,perceptually rich,no,no,yes,yes,39.36,36,america,no,NA,NA,47,0.008,0.352
94,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,2,ai algorithms,behavioral,limited,inferior,absent,absent,other,NA,low,expert,absent,no,perceptually rich,no,yes,yes,yes,39.58,36,america,no,NA,NA,36,0.0046,-0.456
95,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,2,ai algorithms,cognitive,limited,inferior,absent,absent,other,NA,low,expert,absent,no,perceptually rich,no,no,yes,yes,39.58,36,america,no,NA,NA,36,< 0.001,-0.768
96,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,2,ai algorithms,cognitive,limited,inferior,absent,absent,other,NA,low,expert,absent,no,perceptually rich,no,no,yes,yes,39.58,36,america,no,NA,NA,36,0.0025,-0.333
97,hou & jung,who is the expert? reconciling algorithm aversion and algorithm appreciation in ai-supported decision making,2021,proceedings of the acm on human-computer interaction,conference proceedings,information systems,2,ai algorithms,cognitive,limited,inferior,absent,absent,other,NA,low,expert,absent,no,perceptually rich,no,no,yes,yes,39.58,36,america,no,NA,NA,36,0.0055,-0.391
